"Date","Country","Latitude","Lab","LabNo","Area","AreaNum","Notes","pH","OM360","TECM3","PM3","KM3","CaM3","MgM3","NaM3","SM3","Cl","EC12","BM3","FeM3","MnM3","CuM3","ZnM3","AlM3","PB2","PO","NO3N","NH4N"
2015-12-28,"DE",53.4,"Brookside","0938-1","g","17","poa/bent",5.9,1.12,2.54,34,48,277,39,25,8,10.53,0.06,0.37,116,10,1.62,3.73,123,37,15,6.4,3.9
2015-12-28,"DE",53.4,"Brookside","0936-1","g","04","poa/bent",6.2,1.03,2.28,26,45,278,36,19,7,10.89,0.05,0.37,111,12,1.49,5.38,130,28,10,5.1,3.1
2015-12-28,"DE",53.4,"Brookside","0937-1","g","12","poa/bent",6,1.26,2.75,30,55,318,42,25,8,13.63,0.06,0.44,108,10,1.52,3.79,112,35,10,6.3,3.3
2013-09-09,"US",48.45,"Brookside","0875-1","t","04","kbg",7.9,1.08,38.25,6,30,7166,108,24,6,3.7,0.06,0.28,57,21,0.81,0.94,3,19,8,3.5,2.6
2013-09-09,"US",48.45,"Brookside","0876-1","f","18","kbg",7.8,4.65,15.84,49,119,2764,122,29,20,13.9,0.13,0.66,190,90,2.15,2.18,387,48,9,10.2,4
2013-09-09,"US",48.45,"Brookside","0877-1","g","10","bent",8.2,2.24,40.42,6,56,7590,113,20,6,7.69,0.05,0.47,52,40,0.87,1.08,7,24,8,NA,1.4
2014-03-19,"US",39.47,"Brookside","0007-1","f","17","ryegrass",7.9,2.88,64.25,19,214,11745,303,46,91,26.62,0.37,0.63,106,39,2.33,6.39,11,NA,14,1.7,4.8
2016-08-17,"US",39.47,"Brookside","0402-1","t","06","bent",7.8,1.19,9.95,112,77,1712,83,32,40,6.71,0.00021875,0.61,157,46,1.22,3.83,122,180,13,NA,1.6
2016-08-17,"US",39.47,"Brookside","0401-1","g","01","poa/bent",7.8,1.37,3.9,42,56,588,69,24,11,6.93,9.375e-05,0.78,87,36,4.08,8.47,82,48,8,0.6,2
2014-03-19,"US",39.47,"Brookside","0005-1","t","05","bentgrass",8.2,0.61,15.71,69,80,2785,110,38,15,8.29,0.08,0.44,191,44,2.22,3.58,80,196,9,0.7,2.3
2014-03-19,"US",39.47,"Brookside","0006-1","g","07","bentgrass",8,1.34,5.23,41,57,788,103,24,11,7.97,0.07,0.55,140,27,3.93,13.33,69,56,8,0.8,3.9
2016-08-17,"US",39.47,"Brookside","0403-1","f","02","rye",7.8,4.17,27.73,64,296,4605,331,44,58,20.31,0.000484375,0.94,272,60,3.46,13.83,148,94,21,7.6,5.8
2014-02-05,"JP",33.59,"Brookside","0123-1","f","06","zoysia",7.6,3.78,14.29,450,85,2410,155,42,29,9.65,0.11,0.85,113,20,3.07,17.3,386,523,43,3.7,3.6
2014-02-05,"JP",33.59,"Brookside","0122-1","t","01","zosyia",5.5,2.99,4.82,181,108,435,53,39,9,18.87,0.04,0.28,128,9,0.96,4.16,435,300,38,NA,7.9
2014-02-05,"JP",33.59,"Brookside","0121-1","g","09","zoysia",6.7,2.44,5.01,111,53,770,49,35,7,8.57,0.05,0.36,115,15,3.35,5.5,239,192,23,0.6,5.3
2015-07-08,"CA",49.64,"Brookside","1740-1","g","grn","poa",7.8,1.24,8.07,104,78,1345,89,26,11,5.87,0.05,0.45,198,56,3.07,16.64,114,114,15,3.6,0.9
2015-07-08,"CA",49.64,"Brookside","1741-1","f","fwy","poa",5.7,1.65,5.91,79,121,590,90,29,12,NA,0.05,NA,414,28,1.28,6.94,563,104,32,2.5,2.5
2015-07-08,"CA",49.64,"Brookside","1742-1","t","tee","poa",8.1,1.38,11.69,59,60,2058,89,27,11,7.07,0.07,0.37,246,84,1.82,4.68,85,63,13,0.6,1
2014-08-26,"GB",54.08,"Brookside","0675-1","g","01","per. rye",6.3,4.69,13.01,109,129,1832,130,93,42,23.21,0.16,0.72,420,20,5.17,9.01,907,157,34,2.8,4
2014-08-26,"GB",54.08,"Brookside","0677-1","o","02","fescue/poa nn",6,5.31,10.09,31,121,1179,156,121,18,36.03,0.14,0.8,257,105,3.37,9.37,674,16,6,7.7,4.2
2014-08-26,"GB",54.08,"Brookside","0676-1","o","01","fescue/poa nn",5.9,4.25,5.78,26,81,636,87,69,17,15.2,0.06,0.62,441,32,2.65,7.5,667,24,11,2.6,5.5
2014-11-04,"GB",51.39,"Brookside","0454-1","g","04","fescue/poa",6.3,1.97,5.61,37,73,801,50,29,23,28.49,0.1,0.74,429,14,3.02,5.82,155,51,10,2.4,1.6
2014-11-04,"GB",51.39,"Brookside","0455-1","f","04","fescue/poa",5,4.78,6.38,22,58,472,48,29,22,26.5,0.03,0.75,675,9,1.38,3.49,628,19,19,2.8,3.5
2014-11-04,"GB",51.39,"Brookside","0456-1","t","04","fescue/poa",5.6,3.79,11.12,106,146,1270,65,37,26,13.84,0.12,0.62,399,15,7.7,15.14,780,174,25,5.2,3.9
2013-11-20,"US",41.47,"Brookside","0120-1","g","06","",6.9,2.76,5.94,123,60,821,107,100,15,37.39,0.11,0.6,165,21,3.41,12.07,346,149,22,2.6,4.1
2013-11-20,"US",41.47,"Brookside","0121-1","f","06","",5.2,2.84,6,28,49,425,70,94,12,65.66,0.13,0.6,209,4,0.7,5.76,377,22,8,4.8,5.8
2013-11-20,"US",41.47,"Brookside","0122-1","g","05","",6.9,3.14,7.1,171,67,1003,124,105,18,60.3,0.15,0.61,279,11,4.27,15.99,432,343,25,3.2,4.2
2014-09-19,"GB",51.34,"Brookside","0246-1","f","06","Meadow grass",7.5,8.93,25.41,20,45,4709,71,38,17,9.81,0.17,1.53,85,71,75.04,26.96,253,43,4,6.6,1.5
2014-09-19,"GB",51.34,"Brookside","0245-1","g","16","Meadow grass",6.4,2.84,9,79,90,1368,59,40,44,21.64,0.1,0.75,602,18,2.33,11.49,366,111,14,7.8,0.9
2015-07-29,"GB",51.34,"Brookside","1348-1","g","16","poa/bent",6,3.31,6.37,74,53,894,39,32,48,38.39,0.2,0.79,550,6,1.17,13.46,234,97,16,6.6,2.2
2014-09-19,"GB",51.34,"Brookside","0247-1","t","18","rye/fescue",7.5,3.42,25.76,175,195,4696,70,44,33,11.18,0.22,0.93,246,36,5.75,21.88,119,227,42,20.4,1.2
2015-07-29,"GB",51.34,"Brookside","1349-1","g","13","poa/bent",6.2,4.2,7.67,70,49,1152,38,34,49,37.29,0.22,0.64,588,4,1.15,8.87,214,98,15,4.5,2
2015-07-29,"GB",51.34,"Brookside","1350-1","g","02","poa/bent",5.5,3.03,7.48,65,54,827,41,33,62,38.84,0.22,0.78,616,5,1.09,14.89,253,82,16,5.5,1.4
2015-07-13,"CA",48.4,"Brookside","0519-1","f","17","poa",6.3,3.67,6.7,20,46,870,133,19,10,9.06,0.07,0.52,172,14,3.71,4.5,287,34,7,4.4,9.5
