"Date","Country","Latitude","Lab","LabNo","Area","AreaNum","Notes","pH","OM360","TECM3","PM3","KM3","CaM3","MgM3","NaM3","SM3","Cl","EC12","BM3","FeM3","MnM3","CuM3","ZnM3","AlM3","PB2","PO","NO3N","NH4N"
2014-06-10,"JP",35.64,"Brookside","0283-1","g","04","bent",6.2,1.36,4.89,100,82,605,86,23,12,7.7,0.04,0.35,139,35,2.49,6.88,630,165,20,1.6,6.4
2014-06-10,"JP",35.64,"Brookside","0284-1","g","01","bent",6.5,1.53,5.17,85,95,655,107,27,10,7.98,0.05,0.41,126,29,4.32,8.37,828,129,14,1.2,4.6
2014-06-10,"JP",35.64,"Brookside","0282-1","g","16","bent",6.2,1.41,6.42,109,121,778,119,29,13,4.75,0.04,0.36,140,37,3.91,7.98,952,150,20,0.9,6.1
2016-02-15,"PH",14.23,"Brookside","0131-1","g","18","TIFDWARF",6.6,1.13,4.4,35,61,537,111,36,10,8.53,0.11,0.24,86,13,2.85,5.69,138,70,13,11.3,0.7
2016-02-15,"PH",14.23,"Brookside","0132-1","t",NA,"TIFWAY 419",4.8,1.86,9.05,125,48,578,91,32,34,10.2,0.14,0.45,187,16,1.33,2.93,372,159,40,37.2,4.6
2016-02-15,"PH",14.23,"Brookside","0133-1","f",NA,"TIFWAY 419",5.6,1.88,10.1,164,217,848,210,46,20,14.47,0.3,0.62,202,16,1.26,2.56,662,276,45,65.8,7.2
2014-06-19,"US",35.09,"Brookside","0140-1","g","14","bent",6.3,1,2.15,52,10,297,27,18,9,3.75,0.03,0.38,128,21,1.55,1.98,82,59,17,1.5,2.5
2014-06-19,"US",35.09,"Brookside","0139-1","g","wpg","bent",6.8,0.83,1.91,40,19,260,39,22,8,4.55,0.04,0.38,91,23,1.15,3.06,76,37,12,2.2,4.1
2014-06-19,"US",35.09,"Brookside","0141-1","f","5","meyer zosyia",6.5,3.52,9.87,24,103,1367,174,23,17,6.57,0.09,0.53,140,275,1.47,2.01,657,49,9,3.2,7.2
2014-05-27,"CA",46.43,"Brookside","0033-1","g","05","penncross bent",6.5,1.03,3.05,194,67,314,97,28,11,2.78,0.03,0.42,378,28,1.24,2.76,309,157,32,2.1,5.7
2014-05-27,"CA",46.43,"Brookside","0031-1","g","01","bent/poa",6.4,1.61,4.28,187,66,538,86,24,18,9.59,0.07,0.47,387,36,1.77,3.74,450,333,40,6.7,5.6
2014-05-27,"CA",46.43,"Brookside","0035-1","f","09","penncross/poa",5.7,2.34,3.68,78,75,323,77,29,20,2.93,0.05,0.44,302,48,0.76,2.24,1081,101,16,1.4,8.1
2014-05-27,"CA",46.43,"Brookside","0036-1","f","15","penncross/poa",5.5,2.02,3.47,89,53,281,63,33,24,6.43,0.05,0.47,364,47,0.8,1.93,1304,118,17,1.2,8.4
2014-05-27,"CA",46.43,"Brookside","0034-1","f","03","penncross/poa",5.4,2.56,3.92,94,84,296,66,28,23,5.4,0.04,0.37,275,34,0.66,2.04,1409,133,22,1.7,6.6
2014-05-27,"CA",46.43,"Brookside","0032-1","g","04","penncross bent",6.5,1.17,3.42,186,61,395,90,26,13,7.36,0.04,0.52,377,47,1.53,2.84,412,199,38,2.9,4.6
